Digit,Grau,Universitat,Nota,Ciutat
298,Enginyeria Informàtica (Cerdanyola del Vallès),UAB,"9,959",Cerdanyola del Vallès
299,Enginyeria Informàtica (Girona),UdG,"8,631",Girona
300,Enginyeria Informàtica (Igualada),UdL,"7,930",Igualada
301,Enginyeria Informàtica (Lleida),UdL,"8,102",Lleida
302,Enginyeria Informàtica (Tarragona),URV,"8,673",Tarragona
303,Enginyeria Informàtica (Vilanova i la Geltrú),UPC,"9,736",Vilanova i la Geltrú
304,"Enginyeria Informàtica, Grau en + Màster Universitari en Enginyeria Informàtica (Barcelona)",UPC,"11,804",Barcelona
305,"Enginyeria Informàtica, Grau en + Màster Universitari en Enginyeria Informàtica (Lleida)",UdL,"7,735",Lleida
306,Enginyeria Informàtica / Matemàtiques  (Barcelona),UB,"12,898",Barcelona
307,"Enginyeria Informàtica de Gestió i Sistemes d'Informació ""Tecnocampus""
(Mataró)",UPF,"7,236",Mataró
308,Enginyeria Matemàtica en Ciència de Dades (Barcelona),UPF,"11,818",Barcelona
309,Enginyeria Matemàtica i Física (Tarragona),URV,"11,810",Tarragona
310,"Enginyeria Mecànica ""EU Salesiana de Sarrià"" (Barcelona)",UAB,"7,109",Barcelona
311,Enginyeria Mecànica (Barcelona / Sant Adrià de Besòs),UPC,"10,140",Barcelona / Sant Adrià de Besòs
312,Enginyeria Mecànica (Girona),UdG,"8,077",Girona
313,Enginyeria Mecànica (Tarragona),URV,"8,120",Tarragona
314,Enginyeria Mecatrònica (Vic),UVic-UCC,"5,156",Vic
315,Enginyeria Química (Barcelona),UB,"11,158",Barcelona
316,Enginyeria Química (Barcelona / Sant Adrià de Besòs),UPC,"9,844",Barcelona / Sant Adrià de Besòs
317,Enginyeria Química (Cerdanyola del Vallès),UAB,"9,596",Cerdanyola del Vallès
318,Enginyeria Química (Girona),UdG,"8,178",Girona
319,Enginyeria Química (Tarragona),URV,"8,742",Tarragona
320,Enologia (Tarragona),URV,"5,490",Tarragona
321,Estadística (Barcelona),UB / UPC,"10,110",Barcelona
322,Estadística Aplicada (Cerdanyola del Vallès),UAB,"9,500",Cerdanyola del Vallès
323,Estadística Aplicada / Sociologia  (Cerdanyola del Vallès),UAB,"8,896",Cerdanyola del Vallès
324,Estudis Anglesos (Barcelona),UB,"5,914",Barcelona
325,Estudis Anglesos (Cerdanyola del Vallès),UAB,"5,594",Cerdanyola del Vallès
326,Estudis Anglesos (Lleida),UdL,"5,000",Lleida
327,Estudis Anglesos / Llengües Aplicades i Traducció  (Lleida),UdL,"5,000",Lleida
328,Estudis Àrabs i Hebreus (Barcelona),UB,"5,000",Barcelona
329,Estudis d'Anglès i Català (Cerdanyola del Vallès),UAB,"5,000",Cerdanyola del Vallès
330,Estudis d'Anglès i de Clàssiques (Cerdanyola del Vallès),UAB,"5,000",Cerdanyola del Vallès
331,Estudis d'Anglès i Espanyol (Cerdanyola del Vallès),UAB,"5,000",Cerdanyola del Vallès
332,Estudis d'Anglès i Francès (Cerdanyola del Vallès),UAB,"5,000",Cerdanyola del Vallès
333,Estudis d'Àsia Oriental -Japonès- (Cerdanyola del Vallès),UAB,"6,980",Cerdanyola del Vallès
334,Estudis d'Àsia Oriental -Xinès- (Cerdanyola del Vallès),UAB,"5,880",Cerdanyola del Vallès
335,"Estudis d'Espanyol i Xinès: Llengua, Literatura i Cultura (Cerdanyola del Vallès)",UAB,"5,000",Cerdanyola del Vallès
336,Estudis de Català i Espanyol (Cerdanyola del Vallès),UAB,"5,000",Cerdanyola del Vallès
337,Estudis Globals (Barcelona),UPF,"11,724",Barcelona
338,Estudis Globals (Barcelona),UPF,"11,724",Barcelona
339,Estudis Globals / Global Studies (Girona),UdG,"8,800",Girona
340,Estudis Globals / Global Studies (Vic),UVic-UCC,"5,000",Vic
341,"Estudis Globals / Global Studies / Turisme 
(Girona)",UdG,"6,808",Girona
342,"Estudis Internacionals d'Economia i Empresa - International Business Economics
(Barcelona)",UPF,"12,392",Barcelona
343,Estudis Socioculturals de Gènere (Cerdanyola del Vallès),UAB,"5,000",Cerdanyola del Vallès
344,Estudis Literaris (Barcelona),UB,"5,000",Barcelona
345,Farmàcia (Barcelona),UB,"11,202",Barcelona
346,"Farmàcia / Nutrició Humana i Dietètica  (Barcelona / Santa Coloma
de Gramenet)",UB,"11,934",Barcelona / Santa Coloma de Gramenet
347,Filologia Catalana (Barcelona),UB,"6,160",Barcelona
348,Filologia Catalana (Girona),UdG,"5,000",Girona
349,Filologia Catalana: Estudis de Literatura i Lingüística (Cerdanyola del Vallès),UAB,"5,000",Cerdanyola del Vallès
350,Filologia Catalana i Estudis Occitans (Lleida),UdL,"5,000",Lleida
351,"Filologia Catalana i Estudis Occitans / Llengües Aplicades i Traducció
 (Lleida)",UdL,"5,000",Lleida
352,Filologia Catalana / Filologia Hispànica  (Girona),UdG,"6,378",Girona
353,Filologia Clàssica (Barcelona),UB,"5,000",Barcelona
354,Filologia Hispànica (Barcelona),UB,"5,000",Barcelona
355,Filologia Hispànica (Girona),UdG,"5,000",Girona
356,Filologia Hispànica (Lleida),UdL,"5,000",Lleida
357,Filologia Hispànica / Llengües Aplicades i Traducció  (Lleida),UdL,"5,000",Lleida
358,Filosofia (Barcelona),UB,"5,894",Barcelona
359,Filosofia (Cerdanyola del Vallès),UAB,"5,000",Cerdanyola del Vallès
360,Filosofia (Girona),UdG,"5,000",Girona
361,"Filosofia, Política i Economia (Cerdanyola del Vallès / Barcelona)",UPF / UAB,"12,046",Cerdanyola del Vallès / Barcelona
362,Finances i Comptabilitat (Reus),URV,"6,914",Reus
363,Física (Barcelona),UB,"11,809",Barcelona
364,Física (Cerdanyola del Vallès),UAB,"12,067",Cerdanyola del Vallès
365,Física / Matemàtiques  (Barcelona),UB,"13,170",Barcelona
366,Física / Matemàtiques  (Cerdanyola del Vallès),UAB,"13,370",Cerdanyola del Vallès
367,Física / Química  (Cerdanyola del Vallès),UAB,"12,348",Cerdanyola del Vallès
368,Fisioteràpia (Cerdanyola del Vallès),UAB,"11,100",Cerdanyola del Vallès
369,Fisioteràpia (Lleida),UdL,"10,860",Lleida
370,"Fisioteràpia ""Tecnocampus"" (Mataró)",UPF,"8,887",Mataró
371,Fisioteràpia  (Manresa),UVic-UCC,"7,347",Manresa
372,Fisioteràpia (Reus),URV,"10,170",Reus
373,Fisioteràpia (L'Hospitalet de Llobregat),UdG / UB,"7,534",L'Hospitalet de Llobregat
374,Fisioteràpia  (L'Hospitalet de Llobregat),UdG / UB,"7,124",L'Hospitalet de Llobregat
375,"Fisioteràpia ""EUSES"" (Salt)",UdG,"7,319",Salt
376,"Fisioteràpia ""Gimbernat"" (Sant Cugat del Vallès)",UAB,"6,558",Sant Cugat del Vallès
377,"Fisioteràpia ""EUSES"" (Tortosa)",URV,"6,893",Tortosa
378,Fisioteràpia (Vic),UVic-UCC,"7,205",Vic
379,Fisioteràpia / Infermeria  (Lleida),UdL,"11,569",Lleida
380,Fisioteràpia / Nutrició Humana i Dietètica  (Igualada),UdL,"10,655",Igualada
381,Genètica (Cerdanyola del Vallès),UAB,"11,306",Cerdanyola del Vallès
382,Geografia (Lleida),UdL,"5,000",Lleida
383,Geografia i Canvi Global (Barcelona),UB,"5,480",Barcelona
